"word","freq"
"lover",5.16
"stone",5.153
"tear",5.146
"use",5.141
"note",5.133
"view",5.128
"done",5.101
"o",5.099
"bush",5.091
"cop",5.057
"turtle",5.048
"dont",5.019
"loves",5.011
"wants",5.009
"tick",4.975
"west",4.968
"feet",4.94
"cheetah",4.933
"next",4.921
"taste",4.91
"says",4.906
"low",4.901
"died",4.898
"middle",4.886
"miles",4.871
"sometimes",4.853
"lose",4.844
"move",4.832
"throw",4.821
"win",4.821
"glad",4.802
"dust",4.795
"ain't",4.789
"called",4.773
"call",4.769
"sand",4.742
"tears",4.727
"death",4.714
"nothin'",4.708
"glow",4.688
"room",4.682
"took",4.681
"carry",4.674
"case",4.67
"hit",4.662
"storm",4.655
"jam",4.652
"less",4.648
"concealed",4.634
"divided",4.634
"privately",4.634
"undecided",4.634
"weather",4.629
"singing",4.628
"fortune",4.626
"met",4.626
"revealed",4.624
"great",4.622
"words",4.588
"swear",4.581
"hello",4.576
"ive",4.574
"matter",4.561
"slittin'",4.553
"write",4.546
"grace",4.524
"bring",4.521
"tree",4.516
"brain",4.512
"stranger",4.5
"knees",4.498
"turning",4.495
"crime",4.48
"leverage",4.471
"pistol",4.429
"rise",4.404
"core",4.396
"truth",4.394
"release",4.368
"ghost",4.366
"streets",4.361
"double",4.322
"waves",4.314
"forest",4.299
"least",4.297
"anyway",4.286
"decide",4.282
"sitting",4.268
"men",4.258
"dreams",4.254
"understood",4.242
"mouth",4.242
"ocean",4.233
"reach",4.228
"somehow",4.221
"doubt",4.208
"mess",4.2
"wear",4.174
"daddy",4.141
"art",4.119
"price",4.117
"turned",4.115
"comin'",4.112
"repeat",4.1
"push",4.099
"needs",4.096
"lovin'",4.066
"count",4.062
"brave",4.041
"faded",4.038
"yertle",4.038
"known",4.037
"outside",4.032
"bob",4.031
"police",4.029
"favorite",4.014
"dig",4.003
"burning",3.99
"shape",3.989
"lot",3.971
"meet",3.968
"real",3.949
"dick",3.938
"memories",3.932
"gettin'",3.922
"hills",3.909
"voice",3.901
"punk",3.898
"animal",3.878
"shade",3.867
"scream",3.864
"breaking",3.863
"giving",3.856
"yeahoh",3.854
"motherfuckers",3.852
"read",3.848
"morning",3.808
"rockin'",3.803
"beautiful",3.8
"soon",3.8
"forgotten",3.786
"gold",3.786
"bright",3.785
"appeal",3.784
"heat",3.778
"smiling",3.768
"wait",3.759
"float",3.756
"final",3.756
"luck",3.752
"screaming",3.735
"family",3.728
"appalling",3.721
"forcin'",3.718
"priest",3.717
"priestess",3.717
"simultaneous",3.717
"teeth",3.717
"sucker",3.715
"stare",3.71
"strip",3.71
"kids",3.705
"sent",3.703
"belong",3.697
"fun",3.696
"hop",3.673
"sick",3.672
"feelings",3.666
"tiny",3.661
"finger",3.646
"supposed",3.64
"east",3.627
"green",3.627
"wicked",3.621
"johnny",3.619
"e",3.616
"legs",3.598
"equality",3.585
"hearts",3.575
"country",3.571
"mr",3.57
"lived",3.558
"clean",3.551
"playing",3.551
"fill",3.543
"wood",3.535
"happened",3.53
"wife",3.51
"awake",3.49
"sign",3.484
"chase",3.46
"spread",3.45
"anybody",3.447
"fast",3.426
"dani",3.422
"bed",3.419
"livin'",3.411
"sacrifice",3.41
"chump",3.396
"venus",3.391
"clouds",3.391
"blind",3.357
"trees",3.346
"air",3.345
"stick",3.343
"aw",3.329
"ring",3.325
"looked",3.314
"years",3.301
"spell",3.287
"alright",3.287
"lives",3.284
"fear",3.276
"short",3.267
"flea",3.261
"loud",3.258
"angels",3.252
"purple",3.248
"search",3.226
"women",3.224
"walkin'",3.221
"christ",3.214
"brandy",3.203
"son",3.191
"future",3.184
"forever",3.172
"hair",3.172
"'bout",3.168
"groove",3.159
"worth",3.146
"faith",3.142
"kinda",3.137
"mean",3.137
"caught",3.134
"shine",3.13
"tired",3.128
"sale",3.126
"marry",3.122
"highest",3.111
"mama",3.109
"bride",3.091
"swim",3.091
"brought",3.09
"rely",3.09
"later",3.088
"dad",3.087
"clear",3.079
"walkabout",3.068
"insane",3.067
"searching",3.064
"sour",3.059
"bear",3.054
"check",3.05
"pray",3.039
"race",3.038
"rolling",3.029
"whatchu",3.029
"struck",3.026
"claim",3.019
"laugh",3.015
"shame",3.014
"maybe",3.014
"lions",3.008
"tigers",3.008
"jane",3.005
"shake",3.003
"small",3.002
"subway",3.001
"desecration",2.978
"near",2.973
"stars",2.968
"buy",2.966
"gentlemen",2.955
"dear",2.952
"zephyr",2.94
"yet",2.94
"easily",2.934
"whatever",2.931
"naked",2.931
"wild",2.924
"everyday",2.923
"maggie",2.921
"ill",2.917
"mine",2.914
"arrive",2.913
"yo",2.912
"fact",2.906
"daughter",2.905
"else",2.904
"crashing",2.895
"book",2.894
"bite",2.892
"sideways",2.89
"cash",2.867
"cailfornication",2.861
"cryin'",2.861
"mob",2.86
"lifetime",2.837
"taking",2.836
"drop",2.831
"late",2.818
"wall",2.816
"distant",2.813
"breath",2.805
"seems",2.798
"safe",2.795
"flow",2.792
"watch",2.787
"course",2.777
"sleep",2.773
"queen",2.767
"fool",2.757
"sidewinder",2.744
"slap",2.723
"moving",2.722
"helicopter",2.716
"stadium",2.714
"cat",2.71
"roll",2.71
"fish",2.709
"block",2.705
"bend",2.687
"sittin'",2.684
"gods",2.682
"shot",2.675
"father",2.674
"wind",2.668
"teacup",2.668
"sikamikanico",2.667
"strange",2.661
"alive",2.654
"aging",2.653
"surgeon",2.653
"breeze",2.648
"pass",2.633
"sexy",2.63
"ways",2.628
"blonde",2.626
"hate",2.622
"factory",2.619
"lust",2.618
"eat",2.617
"x3",2.616
"runaway",2.614
"golden",2.613
"bi",2.61
"silver",2.609
"devil",2.607
"kisses",2.594
"arcadium",2.594
"noon",2.594
"pushin'",2.594
"toe",2.585
"fate",2.567
"slave",2.563
"monkey",2.553
"dog",2.551
"teach",2.545
"makin'",2.542
"runnin'",2.541
"backwoods",2.54
"hope",2.538
"door",2.535
"trouble",2.533
"medicine",2.521
"box",2.52
"phfat",2.52
"five",2.519
"phone",2.513
"ten",2.512
"settle",2.511
"divine",2.508
"half",2.503
"news",2.5
"closer",2.493
"sacred",2.493
"marquee",2.493
"worries",2.491
"proud",2.489
"human",2.488
"hu",2.488
"motion",2.483
"secret",2.47
"lack",2.468
"pull",2.467
"pocket",2.455
"blew",2.452
"waking",2.451
"million",2.441
"mountain",2.441
"bleed",2.439
"pushing",2.439
"twist",2.439
"hurts",2.436
"others",2.428
"lune",2.427
"verse",2.424
"oughta",2.418
"mate",2.416
"eskimo",2.413
"cloud",2.405
"nobody",2.403
"sapa",2.4
"number",2.4
"amok",2.395
"bow",2.393
"guru",2.388
"wow",2.387
"descend",2.383
"six",2.376
"sin",2.373
"life's",2.371
"forsake",2.366
"nice",2.362
"roam",2.357
"blessed",2.345
"nevermind",2.344
"history's",2.344
"tamales",2.344
"scarlet",2.343
"euphoric",2.34
"regret",2.337
"cage",2.33
"factually",2.328
"muhk",2.328
"smoke",2.326
"spare",2.323
"deeper",2.319
"lick",2.31
"beach",2.309
"rose",2.305
"asking",2.303
"john",2.298
"1",2.297
"lets",2.296
"named",2.28
"la",2.278
"summer",2.275
"boulevard",2.274
"paid",2.274
"lies",2.273
"minds",2.272
"chin",2.265
"drums",2.264
"innocence",2.261
"bust",2.26
"monarchy",2.251
"roses",2.251
"g",2.25
"stroll",2.245
"chili",2.237
"guy",2.236
"swimming",2.23
"crazy",2.229
"seas",2.228
"sounds",2.227
"seven",2.227
"sunny",2.226
"porcelain",2.219
"flash",2.218
"lordy",2.217
"surprise",2.217
"unknown",2.208
"aboard",2.207
"brown",2.205
"year",2.198
"universe",2.19
"shit",2.19
"miss",2.187
"ladies",2.185
"simply",2.179
"speaking",2.179
"universally",2.179
"trust",2.175
"paper",2.173
"it'll",2.172
"fist",2.171
"river",2.161
"deliver",2.156
"serve",2.149
"floating",2.147
"corner",2.146
"porn",2.144
"unicorn",2.144
"fairy",2.136
"exameenee",2.134
"meenee",2.134
"child",2.127
"sicker",2.127
"cousin",2.124
"simple",2.121
"d",2.119
"fascinated",2.118
"doin'",2.118
"suit",2.116
"sake",2.111
"ha",2.11
"spot",2.107
"spend",2.105
"songbird",2.103
"liked",2.101
"tongue",2.095
"sailin'",2.094
"uh",2.093
"duck",2.091
"chorus",2.09
"learn",2.09
"searchin'",2.087
"lots",2.083
"hots",2.075
"hustle",2.074
"rhythm",2.073
"waste",2.071
"lights",2.07
"bar",2.07
"orleans",2.065
"uptight",2.063
"okay",2.063
"past",2.062
"stuck",2.062
"weight",2.06
"leaves",2.059
"clock",2.058
"reasons",2.056
"onto",2.055
"dying",2.049
"game",2.044
"shed",2.044
"bathroom",2.043
"comber",2.043
"loner",2.043
"styles",2.043
"frustration",2.041
"'round",2.038
"measure",2.033
"loaded",2.03
"ray",2.029
"control",2.029
"moment",2.026
"somewhere",2.025
"fading",2.022
"drummer",2.022
"thinks",2.021
"london",2.02
"shakin'",2.019
"consequences",2.019
"elevator",2.019
"jumpin'",2.019
"range",2.019
"reborn",2.019
"money",2.014
"bless",2.012
"though",2.011
"stretch",2.011
"load",2.009
"huh",2.006
"touch",2.002
"blues",2
"table",1.999
"snap",1.998
"mystery",1.995
"solar",1.985
"elementary",1.982
"hood",1.979
"picture",1.979
"breeds",1.975
"fingers",1.975
"deeds",1.969
"spirits",1.969
"silly",1.965
"china",1.965
"whole",1.965
"survive",1.964
"guitar",1.964
"taught",1.961
"marley",1.947
"l",1.943
"michigan",1.938
"bone",1.937
"lemon",1.936
"record",1.934
"date",1.927
"knife",1.925
"pack",1.913
"laws",1.909
"pavement",1.904
"contain",1.898
"surrender",1.893
"skinny",1.891
"wrote",1.891
"round",1.891
"worry",1.885
"trains",1.885
"allow",1.884
"psychic",1.875
"tight",1.873
"crowd",1.873
"lotus",1.869
"television",1.868
"business",1.868
"partner",1.867
"intimate",1.866
"shaking",1.866
"canyon",1.864
"dna",1.861
"hammers",1.861
"flower",1.859
"sorcery",1.859
"ais",1.859
"r",1.859
"dope",1.856
"hooray",1.852
"flowing",1.849
"mountains",1.847
"holy",1.846
"confide",1.844
"dancin'",1.843
"rebel",1.837
"damn",1.836
"shiver",1.835
"buckle",1.835
"mention",1.834
"spy",1.831
"slay",1.828
"lead",1.827
"remember",1.824
"mister",1.822
"shes",1.816
"mix",1.815
"emotion",1.814
"north",1.813
"x2",1.812
"exactly",1.809
"mitten",1.805
"revelations",1.805
"mad",1.803
"nose",1.802
"company",1.796
"fucked",1.79
"store",1.788
"coast",1.787
"farm",1.781
"roughest",1.781
"21st",1.779
"century",1.779
"shady",1.779
"raise",1.774
"bare",1.77
"laughing",1.767
"motivated",1.764
"dancing",1.764
"information",1.762
"hesitate",1.759
"sweaty",1.758
"work",1.757
"meditation",1.752
"an'",1.752
"mobile",1.746
"overjoyed",1.746
"spiel",1.746
"om",1.746
"havana",1.746
"deserve",1.743
"dressed",1.743
"cake",1.742
"wrap",1.739
"thread",1.738
"rocket",1.738
"bell",1.737
"busted",1.736
"night's",1.736
"climb",1.735
"trip",1.733
"shadow",1.733
"pie",1.728
"flame",1.727
"point",1.724
"dare",1.723
"sister",1.722
"cue",1.71
"style",1.708
"birth",1.704
"walked",1.702
"indeed",1.702
"rough",1.702
"bliss",1.702
"pervert",1.702
"stain",1.698
"shout",1.695
"battle",1.693
"stole",1.692
"test",1.69
"train",1.688
"boatman",1.683
"ferry",1.683
"freaky",1.683
"styley",1.683
"center",1.683
"deviate",1.682
"hands",1.68
"sticks",1.675
"metal",1.674
"dress",1.673
"addicted",1.668
"defunkt",1.668
"imitation",1.668
"reservation",1.668
"shindig",1.668
"lovers",1.668
"ago",1.664
"won",1.661
"built",1.658
"shop",1.656
"indian",1.655
"peppers",1.655
"avalon",1.653
"rivers",1.653
"western",1.647
"also",1.647
"creation",1.647
"raised",1.647
"dolphin",1.639
"nervous",1.638
"ready",1.635
"mercury",1.635
"remedies",1.635
"jets",1.634
"silveretta",1.634
"trigger",1.627
"lips",1.626
"drew",1.625
"fills",1.621
"glory",1.616
"pawn",1.612
"silent",1.612
"broom",1.612
"messed",1.609
"agree",1.608
"craving",1.606
"mission",1.605
"virtue",1.605
"health",1.604
"planet",1.603
"em",1.602
"mommy",1.602
"fucker",1.601
"bee",1.6
"eepa",1.6
"lo",1.6
"millionaire",1.6
