"word","freq"
"open",13.778
"swear",13.765
"da",13.654
"words",13.642
"listen",13.554
"pain",13.475
"change",13.446
"'ye",13.375
"jay",13.302
"front",13.3
"cant",13.269
"pass",13.24
"pop",13.173
"makin'",13.13
"mouth",13.082
"track",13.069
"bang",13.064
"drunk",13.026
"shine",13.008
"whatever",13.002
"momma",12.993
"full",12.97
"worry",12.96
"lord",12.953
"blood",12.93
"mall",12.928
"comes",12.927
"sweet",12.906
"use",12.903
"job",12.873
"ice",12.795
"second",12.789
"days",12.787
"fight",12.764
"place",12.746
"'round",12.691
"felt",12.658
"grab",12.63
"plan",12.55
"runaway",12.529
"nice",12.506
"eat",12.466
"drug",12.46
"matter",12.457
"don",12.452
"3",12.411
"dance",12.409
"rich",12.397
"bought",12.338
"help",12.326
"thank",12.32
"meet",12.308
"bound",12.302
"crack",12.28
"thousand",12.264
"mercy",12.24
"til",12.227
"store",12.223
"half",12.207
"team",12.181
"year",12.16
"fool",12.152
"teeth",12.132
"crib",12.12
"cuz",12.107
"four",12.094
"walks",12.093
"peace",12.092
"must",12.073
"calling",12.067
"seat",12.064
"afford",12.048
"soon",11.998
"caught",11.987
"problem",11.985
"names",11.975
"turned",11.95
"pretty",11.923
"zone",11.905
"living",11.904
"today",11.871
"five",11.859
"father",11.821
"spent",11.773
"impossible",11.772
"bet",11.758
"diamond",11.73
"stand",11.703
"jerk",11.702
"weed",11.643
"cars",11.641
"telling",11.633
"paper",11.602
"doin'",11.601
"finna",11.545
"falls",11.543
"stars",11.514
"room",11.508
"flashing",11.351
"rappers",11.318
"sun",11.278
"anybody",11.276
"question",11.255
"tryin'",11.216
"grind",11.186
"champagne",11.148
"claim",11.144
"says",11.107
"winter",11.082
"sell",11.045
"album",11.011
"cash",11.01
"favorite",10.976
"hurry",10.962
"magic",10.957
"nights",10.941
"champion",10.918
"truth",10.876
"drink",10.86
"feels",10.852
"vuitton",10.83
"kid",10.81
"handle",10.807
"nowhere",10.789
"that'll",10.781
"mess",10.765
"shoes",10.763
"sayin'",10.761
"pick",10.731
"feelin'",10.717
"2",10.668
"burning",10.637
"higher",10.592
"spot",10.581
"excuse",10.555
"whip",10.555
"livin'",10.553
"proud",10.547
"thirsty",10.54
"dead",10.523
"dude",10.484
"promise",10.477
"means",10.463
"played",10.404
"longer",10.399
"woman",10.386
"sit",10.333
"war",10.324
"feet",10.32
"holla",10.318
"plus",10.318
"block",10.292
"breathe",10.281
"deliver",10.266
"speak",10.255
"piece",10.246
"word",10.133
"part",10.088
"michael",10.081
"asking",10.075
"hits",10.058
"catch",10.037
"unwanted",9.966
"kiss",9.942
"couple",9.938
"taking",9.932
"sold",9.914
"sing",9.89
"understand",9.884
"nah",9.877
"child",9.855
"fire",9.83
"picture",9.829
"stuff",9.817
"wonder",9.805
"eh",9.789
"daughter",9.762
"ring",9.693
"sex",9.684
"ok",9.684
"rings",9.672
"sleep",9.595
"shake",9.59
"brought",9.569
"freak",9.546
"rather",9.428
"phantom",9.397
"famous",9.372
"lil",9.347
"verse",9.303
"'head",9.278
"pressure",9.273
"business",9.271
"thirty",9.251
"write",9.239
"known",9.237
"eye",9.159
"skin",9.1
"hundred",9.09
"girlfriend",9.06
"devil",9.053
"arm",9.038
"follow",9.032
"kick",8.998
"level",8.996
"minute",8.979
"wear",8.972
"plane",8.947
"asshole",8.929
"workin'",8.914
"may",8.892
"parties",8.876
"k",8.862
"knock",8.856
"yall",8.83
"perfect",8.811
"guy",8.781
"almost",8.775
"awesome",8.759
"close",8.753
"chance",8.732
"six",8.723
"tired",8.707
"needed",8.623
"along",8.602
"g",8.576
"funny",8.574
"fine",8.542
"none",8.538
"smile",8.538
"bag",8.528
"read",8.516
"'fore",8.513
"alone",8.502
"green",8.493
"finished",8.489
"folks",8.483
"forgot",8.474
"making",8.462
"sick",8.459
"bullshit",8.452
"credit",8.434
"save",8.416
"goodbye",8.385
"runnin'",8.374
"sign",8.318
"wave",8.311
"send",8.27
"paris",8.246
"shows",8.199
"poker",8.194
"concert",8.175
"broads",8.164
"running",8.126
"bright",8.091
"dollar",8.084
"lamborghini",8.073
"hov",8.072
"glasses",8.067
"lady",8.053
"asked",8.045
"rhymes",8.041
"talked",8.03
"uhhuh",8.017
"hop",8.005
"summer",8.001
"mother",7.969
"order",7.969
"eighteen",7.952
"saw",7.941
"fade",7.936
"building",7.897
"1",7.895
"america",7.878
"forget",7.867
"coldest",7.861
"ago",7.851
"nike",7.844
"babe",7.839
"water",7.828
"become",7.823
"started",7.805
"treat",7.767
"college",7.76
"classic",7.743
"spend",7.736
"keys",7.733
"drugs",7.694
"daddy",7.688
"shoot",7.675
"anyway",7.645
"action",7.644
"ultra",7.629
"church",7.628
"jumped",7.627
"knows",7.609
"deserve",7.597
"instead",7.573
"christmas",7.572
"gnashing",7.565
"moaning",7.565
"weeping",7.565
"5",7.56
"drove",7.553
"gas",7.539
"heaven",7.521
"bar",7.515
"stupid",7.51
"lies",7.502
"happen",7.498
"pink",7.475
"ohhhh",7.473
"uhuh",7.458
"dat",7.452
"safe",7.436
"questions",7.41
"spaceship",7.408
"dame",7.405
"wings",7.401
"showin'",7.353
"single",7.353
"men",7.327
"easy",7.32
"sip",7.318
"tracks",7.317
"seems",7.31
"limelight",7.305
"chorus",7.294
"tomorrow",7.283
"legend",7.26
"cop",7.257
"dress",7.253
"tight",7.242
"behind",7.24
"glass",7.23
"ghetto",7.191
"murder",7.185
"son",7.183
"hello",7.084
"pictures",7.082
"bottle",7.081
"slaves",7.076
"hair",7.071
"mommy",7.05
"mothafuckin'",7.036
"finally",7.036
"cry",7.017
"cab",6.994
"self",6.961
"reason",6.951
"rain",6.927
"laugh",6.888
"unless",6.881
"died",6.878
"lambo'",6.878
"ha",6.874
"stronger",6.859
"shift",6.858
"prince",6.852
"beam",6.844
"smoking",6.82
"park",6.808
