"word","freq"
"first",7.724
"belonged",7.723
"garden",7.675
"talk",7.662
"whisper",7.633
"shoot",7.614
"seen",7.592
"anymore",7.588
"'cos",7.579
"tried",7.532
"nearly",7.511
"young",7.5
"left",7.495
"bag",7.488
"wants",7.484
"mystery",7.475
"du",7.464
"leaving",7.441
"use",7.399
"hoo",7.391
"shines",7.386
"babe",7.376
"keeps",7.33
"set",7.307
"di",7.305
"hippy",7.287
"beneath",7.218
"rita",7.215
"arms",7.215
"juba",7.201
"bed",7.195
"anna",7.137
"middle",7.132
"tour",7.12
"sit",7.113
"guy",7.079
"hate",7.076
"turns",7.034
"paperback",7.016
"singing",7.003
"born",6.99
"eye",6.978
"c'mon",6.969
"robert",6.963
"mister",6.922
"postman",6.922
"brown",6.92
"bien",6.908
"wisdom",6.894
"behind",6.842
"without",6.821
"save",6.761
"sleeping",6.722
"ground",6.716
"maid",6.66
"close",6.648
"town",6.638
"mama",6.6
"harm",6.599
"miss",6.594
"feet",6.571
"dig",6.566
"bop",6.558
"hung",6.553
"drive",6.529
"dark",6.514
"write",6.513
"shoes",6.511
"chains",6.509
"room",6.505
"lie",6.44
"brah",6.418
"shame",6.417
"baby's",6.4
"shine",6.385
"along",6.384
"fill",6.365
"belong",6.364
"dog",6.36
"pass",6.355
"telling",6.338
"hoping",6.338
"bonnie",6.334
"reason",6.318
"writer",6.284
"phone",6.279
"pepper's",6.276
"move",6.271
"girls",6.255
"yesterday",6.239
"fell",6.231
"flat",6.219
"helter",6.197
"skelter",6.197
"boys",6.189
"stand",6.17
"running",6.164
"christmas",6.141
"lane",6.086
"penny",6.086
"hearts",6.084
"sadie",6.068
"wonder",6.063
"hammer",6.022
"lips",6.005
"twice",6
"blackbird",6
"follow",5.984
"lullaby",5.977
"times",5.96
"suede",5.949
"searching",5.94
"ensemble",5.938
"put",5.915
"prudence",5.84
"takes",5.834
"shuop",5.83
"wine",5.813
"window",5.787
"nice",5.782
"misery",5.775
"suddenly",5.768
"matter",5.763
"g'",5.761
"joob",5.761
"broke",5.761
"next",5.756
"best",5.747
"met",5.744
"catch",5.703
"paul",5.621
"michelle",5.615
"wish",5.607
"sound",5.586
"used",5.579
"lay",5.563
"jump",5.54
"green",5.538
"step",5.537
"shining",5.529
"act",5.49
"lucky",5.473
"street",5.459
"broken",5.459
"admit",5.45
"learn",5.438
"star",5.435
"tired",5.425
"whole",5.415
"happiness",5.38
"died",5.37
"upon",5.369
"news",5.345
"king",5.336
"traveling",5.302
"working",5.301
"taking",5.281
"o",5.271
"begin",5.271
"half",5.267
"warm",5.257
"clarabella",5.249
"moonlight",5.239
"soul",5.224
"bompa",5.163
"maxwell's",5.161
"joy",5.161
"jane",5.148
"paper",5.142
"open",5.136
"rather",5.135
"dirty",5.128
"cold",5.09
"breaks",5.089
"sexy",5.057
"gave",5.025
"taxman",5.02
"line",5.003
"gives",4.993
"calls",4.99
"pay",4.988
"tres",4.968
