"word","freq"
"shame",2.298
"aching",2.297
"wait",2.29
"calling",2.267
"singing",2.266
"raise",2.261
"conversation",2.259
"future",2.259
"hearts",2.256
"sleep",2.252
"evermore",2.24
"sense",2.24
"perfect",2.22
"came",2.219
"seem",2.212
"magic",2.195
"pulled",2.188
"word",2.186
"scaramouch",2.168
"seen",2.167
"taking",2.157
"fight",2.155
"singer",2.138
"freddie",2.132
"whatever",2.132
"attention",2.109
"year",2.105
"hat",2.1
"style",2.099
"passing",2.091
"kilroy",2.09
"bones",2.083
"lately",2.078
"wings",2.075
"square",2.066
"today",2.059
"hands",2.058
"thinkin'",2.041
"banner",2.041
"kickin'",2.041
"shouting",2.041
"singin'we",2.041
"wavin'",2.041
"side",2.039
"naked",2.037
"driven",2.014
"matter",2.01
"town",2.008
"destroy",2.005
"naughty",1.991
"someone",1.983
"anymore",1.978
"sunshine",1.966
"wonder",1.964
"set",1.954
"gelatine",1.949
"ground",1.934
"sure",1.931
"wah",1.93
"kicked",1.921
"tread",1.918
"bo",1.902
"okay",1.902
"out'",1.902
"desert",1.898
"taken",1.892
"dead",1.889
"aside",1.881
"whenever",1.877
"learned",1.866
"body",1.863
"papa",1.862
"beautiful",1.86
"somewhere",1.858
"standing",1.852
"action",1.829
"naturally",1.818
"happening",1.818
"knees",1.817
"needs",1.811
"despacito",1.806
"mi",1.806
"love's",1.804
"kids",1.804
"bone",1.803
"ship",1.798
"near",1.791
"torn",1.785
"fading",1.782
"ooooo",1.782
"loved",1.781
"it'll",1.769
"deep",1.755
"letter",1.753
"roll",1.752
"waiting",1.748
"blue",1.747
"hero",1.746
"reaching",1.729
"treasure",1.728
"flyin'",1.719
"drills",1.714
"drive",1.699
"ball",1.688
"havin'",1.688
"mask",1.685
"step",1.682
"surf's",1.678
"shooting",1.675
"sail",1.672
"lot",1.668
"heat",1.668
"hurry",1.658
"playing",1.648
"stays",1.64
"enough",1.639
"drives",1.638
"eye",1.637
"keeps",1.637
"lifetime",1.628
"anywhere",1.627
"fact",1.623
"child",1.62
"giving",1.617
"turned",1.614
"late",1.612
"ways",1.611
"curtain",1.607
"escape",1.607
"willing",1.606
"named",1.596
"wooh",1.593
"rocket",1.593
"lady",1.59
"situation",1.589
"share",1.586
"children",1.583
"hip",1.582
"flaking",1.58
"makeup",1.58
"begun",1.579
"seebring",1.574
"forgive",1.573
"pretty",1.568
"changed",1.567
"crying",1.564
"cause",1.563
"number",1.563
"lie",1.561
"created",1.558
"gelatin",1.558
"forget",1.547
"written",1.547
"falling",1.545
"laughing",1.541
"run",1.516
"guy",1.516
"what're",1.51
"school's",1.51
"first",1.51
"body's",1.507
"cars",1.506
"outta",1.503
"might",1.493
"morning",1.486
"met",1.481
"track",1.478
"understand",1.477
"took",1.476
"blues",1.465
"lived",1.465
"slow",1.463
"started",1.462
"sitting",1.459
"everything's",1.458
"belong",1.451
"whisper",1.446
"growing",1.436
"meaning",1.432
"thinking",1.431
"brain",1.431
"mercury",1.426
"burn",1.422
"older",1.422
"sends",1.42
"kinda",1.413
"ecstasy",1.411
"half",1.411
"invitation",1.409
"outside",1.406
"mm",1.397
"playin'",1.395
"waves",1.389
"leaving",1.388
"cryin'",1.384
"found",1.376
"follow",1.369
"along",1.368
"survive",1.365
"sea",1.365
"mighty",1.364
"dancing",1.364
"mountains",1.36
"walk",1.353
"gods",1.351
"reality",1.35
"cat",1.337
"walks",1.332
"speak",1.324
"brings",1.307
"lips",1.305
"cowboys",1.301
"indians",1.301
"comes",1.301
"write",1.3
"romance",1.297
"beyond",1.297
"eat",1.289
"nice",1.289
"lay",1.287
