"word","freq"
"instead",3.535
"mass",3.532
"ya",3.526
"touch",3.514
"shared",3.509
"singing",3.509
"swallowed",3.509
"dime",3.502
"donate",3.502
"many",3.494
"afraid",3.482
"place",3.481
"came",3.471
"missing",3.461
"latest",3.426
"buy",3.425
"a**",3.416
"aiming",3.396
"two",3.38
"lines",3.37
"across",3.369
"gold",3.358
"trade",3.354
"hit",3.35
"onto",3.339
"felt",3.326
"broken",3.311
"nothin'",3.29
"cooler",3.281
"pulled",3.271
"stuck",3.268
"ungrateful",3.258
"letting",3.253
"drivin'",3.238
"keys",3.212
"dirt",3.21
"oh'",3.194
"tease",3.184
"heads",3.164
"sex",3.161
"ass",3.16
"wheel",3.158
"hope",3.153
"mark",3.151
"hating",3.146
"stops",3.126
"bleach",3.12
"bunny",3.12
"cars",3.12
"coolest",3.12
"drugs",3.12
"girls",3.12
"hilltop",3.12
"rockstars",3.12
"skinny",3.12
"vip",3.12
"hole",3.112
"sure",3.104
"rather",3.097
"dawn",3.091
"shakin'",3.085
"care",3.08
"gave",3.064
"tearing",3.063
"breathe",3.037
"saving",3.031
"trick",3.028
"fear",3.027
"people",3.025
"crawl",3.019
"radio",3.016
"bring",3.011
"blond",3
"digger's",3
"fifteen",3
"houses",3
"word",2.995
"missed",2.977
"lay",2.975
"teach",2.975
"check",2.953
"fast",2.95
"scene",2.948
"stealing",2.94
"grab",2.938
"acting",2.929
"quit",2.929
"screamin'no",2.929
"trouble",2.929
"heard",2.924
"memories",2.917
"phone",2.912
"regret",2.911
"speed",2.904
"ahead",2.899
"poor",2.899
"whispered",2.896
"soul",2.887
"drunk",2.868
"cuter",2.854
"ripping",2.854
"thumb",2.854
"women",2.854
"air",2.85
"gunna'",2.843
"rip",2.811
"fine",2.807
"evil",2.806
"ride",2.804
"depending",2.79
"broke",2.786
"enemies",2.771
"body",2.769
"queen",2.738
"play",2.738
"private",2.728
"album",2.715
"walkin'",2.715
"beside",2.707
"loves",2.7
"devil",2.682
"singin'",2.662
"red",2.658
"answer",2.644
"suggestion",2.644
"bullet",2.641
"ten",2.64
"shoot",2.627
"looks",2.607
"stopping",2.599
"starting",2.568
"reality",2.563
"wall",2.556
"daddy",2.556
"terrified",2.546
"underneath",2.546
"open",2.542
"carry",2.532
"fighting",2.532
"name",2.525
"places",2.518
"runs",2.518
"pretending",2.51
"dying",2.509
"sense",2.472
"wise",2.471
"drop",2.467
"bed",2.465
"leaving",2.463
"city",2.435
"three",2.429
"near",2.429
"contestant",2.427
"limping",2.427
"sound",2.416
"dirty",2.409
"sugar",2.401
"cloud",2.391
"tails",2.391
"starts",2.381
"walls",2.375
"how're",2.354
"lady",2.349
"song",2.339
"street",2.336
